Route	Page	Primary job	Primary CTA	Design note
/	Ecosystem Hub	Create the premium first impression and make the DTP ecosystem instantly understandable	Book a discovery call	Full-viewport immersive scene with conventional navigation always available
/why-dtp/	Why DTP	Build trust before the visitor evaluates programmes or delivery	Talk through your situation	Calm, authoritative, proof-led and less visually experimental than the hub
/programmes/	Programmes	Explain the packaged ways to engage before or alongside delivery	Compare the programmes	Use a decision guide so visitors can self-select without feeling sold to
/programmes/ai-adoption-readiness/	AI Adoption Readiness	Convert uncertain leaders into a low-risk first step	Book a readiness call	Make this the strongest first commercial offer: controlled, time-boxed and easy to buy
/programmes/ai-foundry/	AI Foundry	Position the Foundry as a working group club for evidence-led opportunity discovery	Discuss Foundry membership	Feel active and practical, not like passive training
/programmes/leadership-ai-coaching/	Senior Leadership AI Coaching	Create a discreet route for senior leaders needing clarity and technical translation	Arrange a confidential conversation	Calm, confidential and restrained
/solutions/	Solutions	Show the practical business problems DTP solves	Talk through a business problem	Operational and scannable, with strong problem-to-solution cards
/process/	How We Work	Reduce perceived delivery risk	Discuss the right first step	Use a stage-gated model with proof and FAQ near anxiety points
/case-studies/	Client Outcomes	Prove that DTP delivers practical, real-world outcomes	Discuss a similar challenge	Outcome-led cards with sector tags and quantified proof where possible
/insights/	Insights	Build authority through useful AI adoption and implementation guidance	Read the latest insight	Thought leadership without generic newsroom language
/faq/	Questions	Remove buying friction	Ask a specific question	Accessible accordions with contextual links from buying pages
/contact/	Start a Conversation	Convert interest into the right kind of enquiry	Book a discovery call	Short intent-led form and designed confirmation state
